date,Affection,Anger,Contempt,Depression,Fear,Happiness,Satisfaction
2022-10-01,1.0,,,,,,1.0
2022-10-02,2.0,,,,2.0,3.0,
2022-10-03,32.0,6.0,,5.0,13.0,6.0,13.0
2022-10-04,8.0,3.0,,2.0,12.0,9.0,25.0
2022-10-05,11.0,4.0,,2.0,11.0,4.0,9.0
2022-10-06,37.0,15.0,10.0,10.0,46.0,16.0,46.0
2022-10-07,68.0,28.0,8.0,13.0,96.0,60.0,62.0
2022-10-08,39.0,8.0,2.0,4.0,36.0,18.0,35.0
2022-10-09,17.0,6.0,,2.0,45.0,10.0,25.0
2022-10-10,32.0,16.0,,8.0,22.0,18.0,12.0
2022-10-11,22.0,16.0,2.0,8.0,30.0,17.0,41.0
2022-10-12,26.0,18.0,2.0,6.0,50.0,13.0,19.0
2022-10-13,78.0,35.0,12.0,21.0,65.0,53.0,52.0
2022-10-14,75.0,40.0,8.0,4.0,43.0,28.0,37.0
2022-10-15,37.0,12.0,2.0,6.0,31.0,17.0,30.0
2022-10-16,34.0,26.0,6.0,17.0,36.0,26.0,33.0
2022-10-17,36.0,8.0,4.0,30.0,77.0,58.0,44.0
2022-10-18,43.0,22.0,6.0,26.0,89.0,35.0,39.0
2022-10-19,41.0,10.0,6.0,8.0,63.0,20.0,22.0
2022-10-20,26.0,8.0,4.0,6.0,32.0,25.0,14.0
2022-10-21,29.0,16.0,4.0,14.0,47.0,44.0,58.0
2022-10-22,81.0,34.0,4.0,13.0,38.0,47.0,77.0
2022-10-23,151.0,48.0,12.0,14.0,72.0,64.0,156.0
2022-10-24,68.0,17.0,8.0,21.0,72.0,39.0,57.0
2022-10-25,59.0,18.0,,29.0,117.0,32.0,51.0
2022-10-26,2.0,7.0,,,16.0,2.0,8.0
2022-10-27,7.0,2.0,,3.0,5.0,,6.0
2022-10-28,10.0,2.0,,,4.0,4.0,9.0
2022-10-29,,2.0,,2.0,4.0,,1.0
2022-10-30,4.0,2.0,,1.0,9.0,4.0,6.0
2022-10-31,4.0,,,1.0,1.0,4.0,4.0
2022-11-01,8.0,2.0,,2.0,40.0,,4.0
2022-11-02,6.0,2.0,,,3.0,5.0,
2022-11-03,2.0,2.0,,,6.0,2.0,
2022-11-04,,,,,2.0,2.0,3.0
2022-11-05,4.0,,,2.0,7.0,2.0,
2022-11-06,,,,1.0,2.0,4.0,2.0
2022-11-07,14.0,6.0,2.0,,3.0,2.0,10.0
2022-11-08,135.0,38.0,19.0,33.0,183.0,173.0,126.0
2022-11-09,234.0,108.0,12.0,101.0,377.0,292.0,235.0
2022-11-10,482.0,237.0,70.0,122.0,493.0,508.0,414.0
2022-11-11,618.0,218.0,54.0,122.0,498.0,563.0,487.0
2022-11-12,489.0,323.0,69.0,335.0,1299.0,566.0,484.0
2022-11-13,621.0,520.0,147.0,353.0,987.0,845.0,557.0
2022-11-14,590.0,466.0,102.0,316.0,1229.0,882.0,585.0
2022-11-15,681.0,531.0,135.0,565.0,1542.0,823.0,666.0
2022-11-16,550.0,340.0,104.0,159.0,597.0,658.0,452.0
2022-11-17,763.0,496.0,148.0,207.0,704.0,1030.0,540.0
2022-11-18,824.0,623.0,126.0,216.0,736.0,922.0,596.0
2022-11-19,690.0,458.0,113.0,143.0,635.0,693.0,488.0
2022-11-20,974.0,475.0,89.0,137.0,732.0,985.0,798.0
2022-11-21,1464.0,588.0,113.0,189.0,966.0,1392.0,1014.0
2022-11-22,877.0,453.0,100.0,160.0,711.0,858.0,641.0
2022-11-23,1093.0,573.0,149.0,233.0,696.0,1079.0,793.0
2022-11-24,812.0,485.0,133.0,147.0,576.0,900.0,611.0
2022-11-25,1320.0,510.0,124.0,166.0,746.0,1047.0,847.0
2022-11-26,1132.0,407.0,137.0,226.0,533.0,815.0,626.0
2022-11-27,1519.0,445.0,93.0,191.0,773.0,1145.0,1097.0
2022-11-28,931.0,402.0,111.0,144.0,562.0,830.0,580.0
2022-11-29,661.0,406.0,94.0,138.0,581.0,514.0,585.0
2022-11-30,894.0,778.0,133.0,178.0,777.0,834.0,1134.0
2022-12-01,597.0,412.0,119.0,117.0,494.0,578.0,447.0
2022-12-02,951.0,582.0,132.0,149.0,709.0,699.0,809.0
2022-12-03,563.0,494.0,130.0,129.0,526.0,535.0,472.0
2022-12-04,625.0,516.0,134.0,138.0,534.0,614.0,483.0
2022-12-05,558.0,319.0,66.0,82.0,373.0,381.0,446.0
2022-12-06,360.0,264.0,62.0,40.0,305.0,329.0,270.0
2022-12-07,482.0,328.0,64.0,64.0,382.0,484.0,390.0
2022-12-08,627.0,399.0,118.0,111.0,455.0,752.0,422.0
2022-12-09,673.0,391.0,77.0,132.0,486.0,678.0,521.0
2022-12-10,328.0,242.0,75.0,65.0,390.0,367.0,362.0
2022-12-11,284.0,294.0,68.0,95.0,261.0,341.0,206.0
2022-12-12,498.0,342.0,80.0,116.0,404.0,578.0,454.0
2022-12-13,736.0,575.0,120.0,168.0,649.0,872.0,639.0
2022-12-14,580.0,602.0,165.0,196.0,683.0,914.0,561.0
2022-12-15,702.0,776.0,188.0,223.0,676.0,951.0,529.0
2022-12-16,652.0,719.0,223.0,202.0,669.0,938.0,500.0
2022-12-17,596.0,654.0,207.0,175.0,653.0,752.0,463.0
2022-12-18,624.0,630.0,214.0,189.0,659.0,910.0,537.0
2022-12-19,994.0,619.0,217.0,234.0,804.0,988.0,573.0
2022-12-20,848.0,551.0,151.0,195.0,602.0,887.0,478.0
2022-12-21,534.0,411.0,127.0,91.0,422.0,555.0,355.0
2022-12-22,642.0,645.0,216.0,182.0,712.0,923.0,643.0
2022-12-23,601.0,683.0,192.0,200.0,735.0,842.0,536.0
2022-12-24,543.0,456.0,148.0,168.0,533.0,723.0,510.0
2022-12-25,405.0,290.0,73.0,73.0,320.0,404.0,369.0
