date,Affection,Anger,Contempt,Depression,Fear,Happiness,Satisfaction
2021-01-01,44.0,13.0,,7.0,15.0,16.0,9.0
2021-01-02,31.0,18.0,,4.0,16.0,28.0,15.0
2021-01-03,18.0,7.0,2.0,2.0,11.0,20.0,8.0
2021-01-04,12.0,8.0,3.0,10.0,12.0,21.0,7.0
2021-01-05,10.0,1.0,3.0,2.0,11.0,14.0,8.0
2021-01-06,6.0,3.0,5.0,3.0,3.0,10.0,7.0
2021-01-07,11.0,5.0,,2.0,1.0,10.0,1.0
2021-01-08,22.0,13.0,,4.0,4.0,12.0,6.0
2021-01-09,45.0,12.0,1.0,3.0,31.0,40.0,22.0
2021-01-10,11.0,3.0,,2.0,6.0,12.0,6.0
2021-01-11,13.0,6.0,1.0,3.0,8.0,14.0,
2021-01-12,11.0,1.0,,,2.0,11.0,7.0
2021-01-13,35.0,11.0,2.0,20.0,35.0,61.0,17.0
2021-01-14,14.0,9.0,,6.0,21.0,32.0,18.0
2021-01-15,20.0,9.0,4.0,5.0,4.0,31.0,11.0
2021-01-16,18.0,7.0,,8.0,10.0,21.0,4.0
2021-01-17,22.0,3.0,2.0,7.0,7.0,38.0,12.0
2021-01-18,12.0,5.0,3.0,5.0,9.0,10.0,1.0
2021-01-19,5.0,6.0,,3.0,4.0,9.0,2.0
2021-01-20,18.0,7.0,2.0,13.0,11.0,15.0,7.0
2021-01-21,13.0,5.0,,3.0,14.0,13.0,14.0
2021-01-22,35.0,12.0,6.0,6.0,19.0,33.0,19.0
2021-01-23,81.0,56.0,6.0,10.0,31.0,82.0,44.0
2021-01-24,48.0,38.0,,2.0,29.0,54.0,38.0
2021-01-25,103.0,120.0,18.0,27.0,90.0,176.0,75.0
2021-01-26,159.0,115.0,10.0,41.0,146.0,274.0,86.0
2021-01-27,1131.0,677.0,82.0,226.0,809.0,1220.0,567.0
2021-01-28,2273.0,2007.0,326.0,593.0,1789.0,2612.0,1214.0
2021-01-29,2193.0,1629.0,291.0,518.0,1572.0,2556.0,1052.0
2021-01-30,2057.0,1416.0,282.0,502.0,1502.0,1989.0,1170.0
2021-01-31,1780.0,1070.0,200.0,407.0,1413.0,1647.0,921.0
2021-02-01,1255.0,995.0,170.0,249.0,949.0,1306.0,730.0
2021-02-02,1036.0,789.0,116.0,255.0,932.0,1096.0,635.0
2021-02-03,922.0,574.0,95.0,260.0,1033.0,1124.0,586.0
2021-02-04,946.0,629.0,117.0,219.0,995.0,1055.0,504.0
2021-02-05,811.0,403.0,87.0,199.0,818.0,745.0,473.0
2021-02-06,643.0,394.0,48.0,143.0,560.0,662.0,382.0
2021-02-07,557.0,319.0,58.0,158.0,408.0,511.0,302.0
2021-02-08,336.0,157.0,35.0,88.0,218.0,329.0,193.0
2021-02-09,279.0,150.0,21.0,71.0,220.0,343.0,164.0
2021-02-10,277.0,119.0,27.0,57.0,195.0,358.0,147.0
2021-02-11,543.0,179.0,41.0,96.0,321.0,402.0,173.0
2021-02-12,245.0,106.0,28.0,66.0,312.0,238.0,129.0
2021-02-13,179.0,60.0,12.0,50.0,319.0,201.0,95.0
2021-02-14,226.0,113.0,27.0,73.0,228.0,307.0,127.0
2021-02-15,251.0,81.0,20.0,52.0,155.0,231.0,155.0
2021-02-16,312.0,151.0,32.0,50.0,147.0,266.0,163.0
2021-02-17,153.0,113.0,30.0,41.0,119.0,169.0,98.0
2021-02-18,383.0,264.0,77.0,106.0,299.0,337.0,150.0
2021-02-19,729.0,482.0,111.0,156.0,429.0,611.0,309.0
2021-02-20,366.0,198.0,52.0,78.0,189.0,267.0,171.0
2021-02-21,304.0,142.0,28.0,79.0,149.0,229.0,106.0
2021-02-22,246.0,108.0,30.0,58.0,99.0,175.0,77.0
2021-02-23,187.0,88.0,23.0,38.0,105.0,139.0,54.0
2021-02-24,231.0,160.0,38.0,65.0,168.0,318.0,107.0
2021-02-25,623.0,328.0,64.0,144.0,406.0,764.0,283.0
2021-02-26,340.0,144.0,25.0,68.0,212.0,298.0,174.0
2021-02-27,366.0,144.0,44.0,60.0,246.0,283.0,217.0
2021-02-28,370.0,168.0,48.0,50.0,192.0,225.0,146.0
