date,viewSum,likeSum,favoriteSum,commentSum,viewAvg,likeAvg,favoriteAvg,commentAvg
2020-12-01,75753,2056,0,697,4734.5625,128.5,0.0,43.5625
2020-12-02,39722,2102,0,1732,845.1489361702128,44.723404255319146,0.0,36.851063829787236
2020-12-03,732267,22828,0,3062,15918.847826086956,496.2608695652174,0.0,66.56521739130434
2020-12-04,3304437,63045,0,9248,64792.882352941175,1236.1764705882354,0.0,181.33333333333334
2020-12-05,35929,1079,0,317,1437.16,43.16,0.0,12.68
2020-12-06,5011,318,0,101,334.06666666666666,21.2,0.0,6.733333333333333
2020-12-07,268831,15920,0,1982,7906.794117647059,468.2352941176471,0.0,58.294117647058826
2020-12-08,31381,681,0,27,1255.24,27.24,0.0,1.08
2020-12-09,213048,13560,0,2218,2766.8571428571427,176.1038961038961,0.0,28.805194805194805
2020-12-10,565536,18103,0,1983,10098.857142857143,323.26785714285717,0.0,35.410714285714285
2020-12-11,879798,29476,0,3434,35191.92,1179.04,0.0,137.36
2020-12-12,842438,24213,0,5210,13372.031746031746,384.3333333333333,0.0,82.6984126984127
2020-12-13,326623,12489,0,2547,7776.738095238095,297.35714285714283,0.0,60.642857142857146
2020-12-14,126877,9878,0,923,5767.136363636364,449.0,0.0,41.95454545454545
2020-12-15,8178,418,0,228,389.42857142857144,19.904761904761905,0.0,10.857142857142858
2020-12-16,427100,17392,0,3300,8213.461538461539,334.46153846153845,0.0,63.46153846153846
2020-12-17,24977,1210,0,227,1784.0714285714287,86.42857142857143,0.0,16.214285714285715
2020-12-18,232025,5186,0,1312,4377.830188679245,97.84905660377359,0.0,24.754716981132077
2020-12-19,3455916,59163,0,9230,80370.13953488372,1375.8837209302326,0.0,214.65116279069767
2020-12-20,1206373,54054,0,5950,18278.378787878788,819.0,0.0,90.15151515151516
2020-12-21,174399,10372,0,2817,9688.833333333334,576.2222222222222,0.0,156.5
2020-12-22,841236,43395,0,11244,15872.377358490567,818.7735849056604,0.0,212.1509433962264
2020-12-23,1554101,96926,0,6736,21001.364864864863,1309.8108108108108,0.0,91.02702702702703
2020-12-24,2398110,12020,0,460,79937.0,400.6666666666667,0.0,15.333333333333334
2020-12-25,33872,664,0,64,2822.6666666666665,55.333333333333336,0.0,5.333333333333333
2020-12-26,20518,1194,0,268,707.5172413793103,41.172413793103445,0.0,9.241379310344827
2020-12-27,113560,2367,0,631,5161.818181818182,107.5909090909091,0.0,28.681818181818183
2020-12-28,540638,21546,0,3158,28454.63157894737,1134.0,0.0,166.21052631578948
2020-12-30,398384,22604,0,4940,99596.0,5651.0,0.0,1235.0
2020-12-31,198456,2176,0,208,49614.0,544.0,0.0,52.0
2021-01-01,5058,224,0,24,1011.6,44.8,0.0,4.8
2021-01-02,20704,672,0,104,5176.0,168.0,0.0,26.0
2021-01-04,3203,83,0,35,640.6,16.6,0.0,7.0
2021-01-06,748,12,0,9,748.0,12.0,0.0,9.0
2021-01-08,92691,2042,0,958,7130.076923076923,157.07692307692307,0.0,73.6923076923077
2021-01-09,19250,1678,0,537,19250.0,1678.0,0.0,537.0
2021-01-11,18380,324,0,324,4595.0,81.0,0.0,81.0
2021-01-12,23252,412,0,28,5813.0,103.0,0.0,7.0
2021-01-13,1939492,107476,0,2824,242436.5,13434.5,0.0,353.0
2021-01-14,2484,8,0,0,310.5,1.0,0.0,0.0
2021-01-15,290548,3720,0,700,72637.0,930.0,0.0,175.0
2021-01-16,144496,2936,0,496,36124.0,734.0,0.0,124.0
2021-01-17,7048,388,0,180,1762.0,97.0,0.0,45.0
2021-01-20,798988,21620,0,3508,49936.75,1351.25,0.0,219.25
2021-01-21,5069,113,0,42,1689.6666666666667,37.666666666666664,0.0,14.0
2021-01-22,748524,44424,0,4836,62377.0,3702.0,0.0,403.0
2021-01-23,4804,180,0,68,1201.0,45.0,0.0,17.0
2021-01-24,149258,5399,0,1068,24876.333333333332,899.8333333333334,0.0,178.0
2021-01-25,2822607,53949,0,14304,91051.83870967742,1740.2903225806451,0.0,461.4193548387097
2021-01-26,1263927,23123,0,5767,60187.0,1101.095238095238,0.0,274.6190476190476
2021-01-27,15404606,366417,0,68745,190180.32098765433,4523.666666666667,0.0,848.7037037037037
2021-01-28,13776835,265392,0,63241,135067.00980392157,2601.8823529411766,0.0,620.0098039215686
2021-01-29,10762394,289633,0,30333,203064.03773584907,5464.773584905661,0.0,572.3207547169811
2021-01-30,6586424,202727,0,30690,131728.48,4054.54,0.0,613.8
2021-01-31,13727248,383208,0,23912,245129.42857142858,6843.0,0.0,427.0
2021-02-01,2758576,104039,0,12039,39408.22857142857,1486.2714285714285,0.0,171.9857142857143
2021-02-02,7406352,237249,0,39932,87133.55294117647,2791.164705882353,0.0,469.78823529411767
2021-02-03,9510861,486824,0,32065,128525.14864864865,6578.7027027027025,0.0,433.31081081081084
2021-02-04,3733235,217598,0,22411,45527.256097560974,2653.6341463414633,0.0,273.3048780487805
2021-02-05,5686062,211957,0,18184,99755.47368421052,3718.5438596491226,0.0,319.0175438596491
2021-02-06,4865656,116244,0,7676,202735.66666666666,4843.5,0.0,319.8333333333333
2021-02-07,3554327,228186,0,14284,111072.71875,7130.8125,0.0,446.375
2021-02-08,464483,25754,0,683,46448.3,2575.4,0.0,68.3
2021-02-09,1412354,86018,0,5158,42798.606060606064,2606.6060606060605,0.0,156.3030303030303
2021-02-10,2342552,64040,0,7922,32993.69014084507,901.9718309859155,0.0,111.5774647887324
2021-02-11,2086424,106986,0,13600,23709.363636363636,1215.75,0.0,154.54545454545453
2021-02-12,1067220,56180,0,11701,15246.0,802.5714285714286,0.0,167.15714285714284
2021-02-13,105709,4033,0,1044,2781.815789473684,106.13157894736842,0.0,27.473684210526315
2021-02-14,1296148,70972,0,8461,40504.625,2217.875,0.0,264.40625
2021-02-15,157412,9428,0,1960,3279.4166666666665,196.41666666666666,0.0,40.833333333333336
2021-02-16,872294,74285,0,6386,28138.516129032258,2396.2903225806454,0.0,206.0
2021-02-17,1241451,23280,0,5901,40046.8064516129,750.9677419354839,0.0,190.3548387096774
2021-02-18,9129430,137732,0,32734,59669.47712418301,900.2091503267974,0.0,213.94771241830065
2021-02-19,3267126,101210,0,16226,46673.22857142857,1445.857142857143,0.0,231.8
2021-02-20,115970,5263,0,1644,2973.5897435897436,134.94871794871796,0.0,42.15384615384615
2021-02-21,443528,35586,0,1305,11987.243243243243,961.7837837837837,0.0,35.270270270270274
2021-02-22,273301,8739,0,438,13014.333333333334,416.14285714285717,0.0,20.857142857142858
2021-02-23,181290,5208,0,1449,4316.428571428572,124.0,0.0,34.5
2021-02-24,2730828,94043,0,12930,42669.1875,1469.421875,0.0,202.03125
2021-02-25,6072548,173591,0,19606,47815.33858267716,1366.8582677165355,0.0,154.3779527559055
2021-02-26,2515803,59663,0,7137,55906.73333333333,1325.8444444444444,0.0,158.6
2021-02-27,806119,54552,0,5612,19661.439024390245,1330.5365853658536,0.0,136.8780487804878
2021-02-28,317905,14590,0,1770,15138.333333333334,694.7619047619048,0.0,84.28571428571429
2021-03-01,484874,9610,0,1529,12121.85,240.25,0.0,38.225
2021-03-02,902437,19349,0,1072,53084.529411764706,1138.1764705882354,0.0,63.05882352941177
2021-03-03,8053007,101665,0,6177,244030.51515151514,3080.757575757576,0.0,187.1818181818182
2021-03-04,1705132,51153,0,5831,36279.40425531915,1088.3617021276596,0.0,124.06382978723404
2021-03-05,759631,24860,0,3450,33027.434782608696,1080.8695652173913,0.0,150.0
2021-03-06,385616,27324,0,4473,18362.666666666668,1301.142857142857,0.0,213.0
2021-03-07,3308806,201226,0,11701,122548.37037037036,7452.814814814815,0.0,433.3703703703704
2021-03-08,162155,4214,0,670,5067.34375,131.6875,0.0,20.9375
2021-03-09,1956411,52288,0,2873,33159.50847457627,886.2372881355932,0.0,48.69491525423729
2021-03-10,1281310,71233,0,1700,22479.122807017542,1249.701754385965,0.0,29.82456140350877
2021-03-11,759796,20545,0,3585,31658.166666666668,856.0416666666666,0.0,149.375
2021-03-12,282185,14029,0,1888,7235.51282051282,359.71794871794873,0.0,48.41025641025641
2021-03-13,389316,24660,0,4376,12166.125,770.625,0.0,136.75
2021-03-14,1605741,61712,0,6334,94455.35294117648,3630.1176470588234,0.0,372.5882352941176
2021-03-15,2311539,35214,0,2199,92461.56,1408.56,0.0,87.96
2021-03-16,767662,39210,0,1733,19683.641025641027,1005.3846153846154,0.0,44.43589743589744
2021-03-17,809266,19864,0,3479,32370.64,794.56,0.0,139.16
2021-03-18,203258,3252,0,569,6159.333333333333,98.54545454545455,0.0,17.242424242424242
2021-03-19,420401,18041,0,879,15014.32142857143,644.3214285714286,0.0,31.392857142857142
2021-03-20,1244,64,0,4,155.5,8.0,0.0,0.5
2021-03-21,239927,11668,0,3685,13329.277777777777,648.2222222222222,0.0,204.72222222222223
2021-03-22,149684,3640,0,536,12473.666666666666,303.3333333333333,0.0,44.666666666666664
2021-03-23,3810288,158898,0,4191,95257.2,3972.45,0.0,104.775
2021-03-24,1956607,63647,0,6024,17627.09009009009,573.3963963963964,0.0,54.270270270270274
2021-03-25,3467226,90640,0,7224,44451.61538461538,1162.051282051282,0.0,92.61538461538461
2021-03-26,2883669,66984,0,8848,31007.1935483871,720.258064516129,0.0,95.13978494623656
2021-03-27,2041793,122706,0,5423,70406.6551724138,4231.241379310345,0.0,187.0
2021-03-28,1405962,68577,0,11108,28119.24,1371.54,0.0,222.16
2021-03-29,8394026,91337,0,5948,98753.24705882353,1074.5529411764705,0.0,69.97647058823529
2021-03-30,15811356,164835,0,8502,243251.63076923077,2535.923076923077,0.0,130.8
2021-03-31,1163793,41905,0,7508,25862.066666666666,931.2222222222222,0.0,166.84444444444443
2021-04-01,13189209,182610,0,8353,212729.17741935485,2945.3225806451615,0.0,134.7258064516129
2021-04-02,1192914,24358,0,3869,32240.91891891892,658.3243243243244,0.0,104.56756756756756
2021-04-03,621059,26275,0,2556,24842.36,1051.0,0.0,102.24
2021-04-04,237174,8317,0,1041,15811.6,554.4666666666667,0.0,69.4
2021-04-05,5638988,113840,0,6724,56389.88,1138.4,0.0,67.24
2021-04-06,1469509,79789,0,8182,27213.12962962963,1477.5740740740741,0.0,151.5185185185185
2021-04-07,3417965,150817,0,13400,52584.07692307692,2320.2615384615383,0.0,206.15384615384616
2021-04-08,287368,14416,0,1874,7982.444444444444,400.44444444444446,0.0,52.05555555555556
2021-04-09,1295412,38211,0,5447,20893.74193548387,616.3064516129032,0.0,87.85483870967742
2021-04-10,445054,22254,0,3461,14356.58064516129,717.8709677419355,0.0,111.64516129032258
2021-04-11,37245,1089,0,131,2865.0,83.76923076923077,0.0,10.076923076923077
2021-04-12,364788,24384,0,568,6079.8,406.4,0.0,9.466666666666667
2021-04-13,286977,12863,0,2589,6522.204545454545,292.34090909090907,0.0,58.84090909090909
2021-04-14,1881141,78355,0,4395,45881.48780487805,1911.0975609756097,0.0,107.1951219512195
2021-04-15,133783,3160,0,900,4054.030303030303,95.75757575757575,0.0,27.272727272727273
2021-04-16,507094,20518,0,2828,13705.243243243243,554.5405405405405,0.0,76.43243243243244
2021-04-17,2914200,139068,0,8732,112084.61538461539,5348.7692307692305,0.0,335.84615384615387
2021-04-18,66248,2660,0,829,2284.4137931034484,91.72413793103448,0.0,28.586206896551722
2021-04-19,1049568,54895,0,3489,9718.222222222223,508.287037037037,0.0,32.30555555555556
2021-04-20,722283,32161,0,3144,9894.287671232876,440.56164383561645,0.0,43.06849315068493
2021-04-21,275494,19850,0,771,9499.793103448275,684.4827586206897,0.0,26.586206896551722
2021-04-22,3986852,170048,0,3412,124589.125,5314.0,0.0,106.625
2021-04-23,427613,26618,0,4249,13793.967741935483,858.6451612903226,0.0,137.06451612903226
2021-04-24,1193543,99607,0,3484,119354.3,9960.7,0.0,348.4
2021-04-25,125569,9160,0,1335,5022.76,366.4,0.0,53.4
2021-04-26,1509823,74937,0,7689,26031.431034482757,1292.0172413793102,0.0,132.56896551724137
2021-04-27,277031,8257,0,2083,4073.985294117647,121.42647058823529,0.0,30.63235294117647
2021-04-28,879684,44829,0,2315,25873.058823529413,1318.5,0.0,68.08823529411765
2021-04-29,592134,37009,0,1759,15182.923076923076,948.9487179487179,0.0,45.1025641025641
2021-04-30,2869873,113163,0,3563,66741.23255813954,2631.6976744186045,0.0,82.86046511627907
2021-05-01,130801,7680,0,768,2906.688888888889,170.66666666666666,0.0,17.066666666666666
2021-05-02,43142,1972,0,432,2696.375,123.25,0.0,27.0
2021-05-03,198663,8679,0,844,12416.4375,542.4375,0.0,52.75
2021-05-04,134721,7941,0,1517,3962.3823529411766,233.55882352941177,0.0,44.61764705882353
2021-05-05,543644,28486,0,1414,18746.344827586207,982.2758620689655,0.0,48.758620689655174
2021-05-06,511827,19370,0,1794,7208.830985915493,272.8169014084507,0.0,25.267605633802816
2021-05-07,163869,5537,0,995,6827.875,230.70833333333334,0.0,41.458333333333336
2021-05-08,763241,84341,0,3600,36344.80952380953,4016.2380952380954,0.0,171.42857142857142
2021-05-09,70698,2866,0,509,3927.6666666666665,159.22222222222223,0.0,28.27777777777778
2021-05-10,1506096,19717,0,1478,50203.2,657.2333333333333,0.0,49.266666666666666
2021-05-11,387842,25755,0,3148,6255.5161290322585,415.4032258064516,0.0,50.774193548387096
2021-05-12,200845,10219,0,596,5149.871794871795,262.02564102564105,0.0,15.282051282051283
2021-05-13,799187,51955,0,1067,21031.236842105263,1367.2368421052631,0.0,28.07894736842105
2021-05-14,590335,24465,0,4504,11575.196078431372,479.70588235294116,0.0,88.31372549019608
2021-05-15,58196,2130,0,296,2645.2727272727275,96.81818181818181,0.0,13.454545454545455
2021-05-16,119463,780,0,39,19910.5,130.0,0.0,6.5
2021-05-17,1302896,63413,0,3960,28953.244444444445,1409.1777777777777,0.0,88.0
2021-05-18,1168776,68718,0,3661,26563.090909090908,1561.7727272727273,0.0,83.20454545454545
2021-05-19,779730,49580,0,1044,19017.80487804878,1209.2682926829268,0.0,25.463414634146343
2021-05-20,1826627,140192,0,9074,38864.40425531915,2982.808510638298,0.0,193.06382978723406
2021-05-21,777612,31411,0,1605,20463.473684210527,826.6052631578947,0.0,42.23684210526316
2021-05-22,1692140,56236,0,5780,105758.75,3514.75,0.0,361.25
2021-05-23,316056,20612,0,3256,13169.0,858.8333333333334,0.0,135.66666666666666
2021-05-24,880099,56889,0,1669,26669.666666666668,1723.909090909091,0.0,50.57575757575758
2021-05-25,960117,45345,0,6114,25266.236842105263,1193.2894736842106,0.0,160.89473684210526
2021-05-26,3975956,188169,0,17776,35819.423423423425,1695.2162162162163,0.0,160.14414414414415
2021-05-27,2002994,122604,0,5098,21308.44680851064,1304.2978723404256,0.0,54.234042553191486
2021-05-28,3106048,156995,0,6085,42548.602739726026,2150.6164383561645,0.0,83.35616438356165
2021-05-29,585233,40913,0,1310,22508.96153846154,1573.576923076923,0.0,50.38461538461539
2021-05-30,238842,13860,0,754,8235.931034482759,477.9310344827586,0.0,26.0
2021-05-31,2243986,117105,0,8354,53428.23809523809,2788.214285714286,0.0,198.9047619047619
2021-06-01,2945788,145680,0,4808,35924.243902439026,1776.5853658536585,0.0,58.63414634146341
2021-06-02,731322,30212,0,2291,8406.0,347.264367816092,0.0,26.333333333333332
2021-06-03,924670,29166,0,4763,14914.032258064517,470.4193548387097,0.0,76.8225806451613
2021-06-04,3689429,137342,0,3375,68322.75925925926,2543.3703703703704,0.0,62.5
2021-06-05,188136,12120,0,2121,5084.756756756757,327.56756756756755,0.0,57.32432432432432
2021-06-06,212800,12784,0,2292,3325.0,199.75,0.0,35.8125
2021-06-07,4349435,260247,0,4114,64916.94029850746,3884.283582089552,0.0,61.40298507462686
2021-06-08,3950507,218224,0,12500,42940.29347826087,2372.0,0.0,135.8695652173913
2021-06-09,4431696,228230,0,6693,48170.608695652176,2480.7608695652175,0.0,72.75
2021-06-10,4846752,212291,0,10425,47055.844660194176,2061.0776699029125,0.0,101.2135922330097
2021-06-11,3193441,162157,0,11023,42579.21333333333,2162.0933333333332,0.0,146.97333333333333
2021-06-12,58756,3576,0,482,2554.608695652174,155.47826086956522,0.0,20.956521739130434
2021-06-13,750154,30028,0,6500,14153.849056603774,566.566037735849,0.0,122.64150943396227
2021-06-14,3221613,182736,0,7257,58574.781818181815,3322.4727272727273,0.0,131.94545454545454
2021-06-15,3601571,220045,0,8666,62096.05172413793,3793.8793103448274,0.0,149.41379310344828
2021-06-16,2660811,130581,0,3507,42916.3064516129,2106.1451612903224,0.0,56.564516129032256
2021-06-17,929931,44135,0,5569,24471.86842105263,1161.4473684210527,0.0,146.55263157894737
2021-06-18,3454229,191481,0,7160,50797.48529411765,2815.8970588235293,0.0,105.29411764705883
2021-06-19,1611553,110915,0,3966,24793.123076923075,1706.3846153846155,0.0,61.01538461538462
2021-06-20,918161,44998,0,6829,22394.170731707316,1097.5121951219512,0.0,166.5609756097561
2021-06-21,4718057,153120,0,7147,74889.79365079365,2430.4761904761904,0.0,113.44444444444444
2021-06-22,3567023,198089,0,10858,35670.23,1980.89,0.0,108.58
2021-06-23,2849652,166550,0,11285,43840.8,2562.3076923076924,0.0,173.6153846153846
2021-06-24,3387533,155260,0,5856,59430.40350877193,2723.8596491228072,0.0,102.73684210526316
2021-06-25,1692604,85492,0,2116,52893.875,2671.625,0.0,66.125
2021-06-26,154968,8832,0,2132,2980.153846153846,169.84615384615384,0.0,41.0
2021-06-27,316361,19508,0,2024,5362.050847457627,330.64406779661016,0.0,34.30508474576271
2021-06-28,2211106,142839,0,5724,31142.338028169015,2011.8169014084508,0.0,80.61971830985915
2021-06-29,360440,23924,0,2756,6007.333333333333,398.73333333333335,0.0,45.93333333333333
2021-06-30,4411275,160671,0,6845,72315.98360655738,2633.9508196721313,0.0,112.21311475409836
2021-07-01,600966,36658,0,1496,27316.636363636364,1666.2727272727273,0.0,68.0
